FilePath, ChangeRate, AddLines, DeleteLines, class
lang/java/avro/src/main/java/org/apache/avro/file/DataFileWriter.java,11,171,61,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/file/DeflateCodec.java,2,11,11,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/file/FileReader.java,1,1,1,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/file/NullCodec.java,2,4,4,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/file/SnappyCodec.java,5,126,43,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/generic/GenericArray.java,1,1,1,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/generic/GenericData.java,45,826,237,bug-prone
lang/java/avro/src/main/java/org/apache/avro/generic/GenericDatumReader.java,24,287,100,bug-prone
lang/java/avro/src/main/java/org/apache/avro/generic/GenericRecordBuilder.java,6,302,42,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/BinaryData.java,5,161,27,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/BinaryDecoder.java,7,99,90,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/BinaryEncoder.java,4,68,204,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/BlockingBinaryEncoder.java,3,94,159,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/BufferedBinaryEncoder.java,5,236,9,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/Decoder.java,5,20,23,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/DecoderFactory.java,4,200,116,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/DirectBinaryDecoder.java,3,10,9,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/DirectBinaryEncoder.java,2,137,4,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/Encoder.java,6,33,21,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/EncoderFactory.java,7,409,44,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/JsonEncoder.java,8,106,35,non-bug-prone
