FilePath,AVRO-ID
lang/java/avro/src/main/java/org/apache/avro/reflect/AvroAlias.java,AVRO-1828
lang/java/avro/src/main/java/org/apache/avro/reflect/CustomEncoding.java,AVRO-1828
lang/java/avro/src/main/java/org/apache/avro/reflect/FieldAccess.java,AVRO-1828
lang/java/avro/src/main/java/org/apache/avro/reflect/FieldAccessReflect.java,AVRO-1828
lang/java/avro/src/main/java/org/apache/avro/reflect/FieldAccessUnsafe.java,AVRO-1828
lang/java/avro/src/main/java/org/apache/avro/reflect/FieldAccessor.java,AVRO-1828
lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectData.java,AVRO-1828
lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectDatumReader.java,AVRO-1828
lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectDatumWriter.java,AVRO-1828
lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectionUtil.java,AVRO-1828
lang/java/avro/src/main/java/org/apache/avro/specific/AvroGenerated.java,AVRO-1828
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificData.java,AVRO-1828
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificDatumReader.java,AVRO-1828
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificDatumWriter.java,AVRO-1828
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificErrorBuilderBase.java,AVRO-1828
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificExceptionBase.java,AVRO-1828
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificFixed.java,AVRO-1828
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificRecordBase.java,AVRO-1828
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificRecordBuilderBase.java,AVRO-1828
lang/java/avro/src/main/java/org/apache/avro/util/ByteBufferOutputStream.java,AVRO-1828
lang/java/avro/src/main/java/org/apache/avro/util/Utf8.java,AVRO-1828
lang/java/avro/src/main/java/org/apache/avro/util/WeakIdentityHashMap.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/AvroTestUtil.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/FooBarSpecificRecord.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/GenerateBlockingData.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/RandomData.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/TestDataFile.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/TestDataFileConcat.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/TestDataFileCustomSync.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/TestProtocol.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/TestSchema.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/TestSchemaBuilder.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/TestSchemaNormalization.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/TypeEnum.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/data/RecordBuilderBaseTest.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/file/TestBZip2Codec.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/generic/TestGenericData.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/generic/TestGenericDatumWriter.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/generic/TestGenericRecordBuilder.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/io/LegacyBinaryEncoder.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/io/TestBinaryDecoder.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/io/TestBinaryEncoderFidelity.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/io/TestBlockingIO.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/io/TestBlockingIO2.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/io/TestEncoders.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/io/TestJsonDecoder.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/io/TestResolvingIO.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/io/TestResolvingIOResolving.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/io/TestValidatingIO.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/io/parsing/TestResolvingGrammarGenerator.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/io/parsing/TestResolvingGrammarGenerator2.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/reflect/TestByteBuffer.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/reflect/TestNonStringMapKeys.java,AVRO-1828
lang/java/avro/src/test/java/org/apache/avro/reflect/TestReflect.java,AVRO-1828
