Kind,Name,Cyclomatic,CountLineCode
File,"avro/src/main/java/org/apache/avro/io/parsing/Symbol.java",,463
File,"avro/src/main/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java",,83
File,"avro/src/main/java/org/apache/avro/message/BadHeaderException.java",,7
File,"avro/src/main/java/org/apache/avro/message/BinaryMessageDecoder.java",,72
File,"avro/src/main/java/org/apache/avro/message/BinaryMessageEncoder.java",,50
File,"avro/src/main/java/org/apache/avro/message/MessageDecoder.java",,44
File,"avro/src/main/java/org/apache/avro/message/MessageEncoder.java",,8
File,"avro/src/main/java/org/apache/avro/message/MissingSchemaException.java",,7
File,"avro/src/main/java/org/apache/avro/message/RawMessageDecoder.java",,31
File,"avro/src/main/java/org/apache/avro/message/RawMessageEncoder.java",,52
File,"avro/src/main/java/org/apache/avro/message/SchemaStore.java",,19
File,"avro/src/main/java/org/apache/avro/reflect/ArrayAccessor.java",,178
File,"avro/src/main/java/org/apache/avro/reflect/AvroAlias.java",,12
File,"avro/src/main/java/org/apache/avro/reflect/AvroDefault.java",,10
File,"avro/src/main/java/org/apache/avro/reflect/AvroDoc.java",,10
File,"avro/src/main/java/org/apache/avro/reflect/AvroEncode.java",,10
File,"avro/src/main/java/org/apache/avro/reflect/AvroIgnore.java",,9
File,"avro/src/main/java/org/apache/avro/reflect/AvroMeta.java",,18
File,"avro/src/main/java/org/apache/avro/reflect/AvroName.java",,10
File,"avro/src/main/java/org/apache/avro/reflect/AvroSchema.java",,12
File,"avro/src/main/java/org/apache/avro/reflect/CustomEncoding.java",,16
File,"avro/src/main/java/org/apache/avro/reflect/DateAsLongEncoding.java",,24
File,"avro/src/main/java/org/apache/avro/reflect/FieldAccess.java",,5
File,"avro/src/main/java/org/apache/avro/reflect/FieldAccessReflect.java",,85
File,"avro/src/main/java/org/apache/avro/reflect/FieldAccessUnsafe.java",,283
File,"avro/src/main/java/org/apache/avro/reflect/FieldAccessor.java",,25
File,"avro/src/main/java/org/apache/avro/reflect/MapEntry.java",,24
File,"avro/src/main/java/org/apache/avro/reflect/Nullable.java",,11
File,"avro/src/main/java/org/apache/avro/reflect/ReflectData.java",,742
File,"avro/src/main/java/org/apache/avro/reflect/ReflectDatumReader.java",,240
File,"avro/src/main/java/org/apache/avro/reflect/ReflectDatumWriter.java",,145
File,"avro/src/main/java/org/apache/avro/reflect/ReflectionUtil.java",,107
File,"avro/src/main/java/org/apache/avro/reflect/Stringable.java",,11
File,"avro/src/main/java/org/apache/avro/reflect/Union.java",,12
File,"avro/src/main/java/org/apache/avro/specific/AvroGenerated.java",,9
File,"avro/src/main/java/org/apache/avro/specific/ExternalizableInput.java",,38
File,"avro/src/main/java/org/apache/avro/specific/ExternalizableOutput.java",,30
File,"avro/src/main/java/org/apache/avro/specific/FixedSize.java",,12
File,"avro/src/main/java/org/apache/avro/specific/SpecificData.java",,371
File,"avro/src/main/java/org/apache/avro/specific/SpecificDatumReader.java",,98
File,"avro/src/main/java/org/apache/avro/specific/SpecificDatumWriter.java",,67
File,"avro/src/main/java/org/apache/avro/specific/SpecificErrorBuilderBase.java",,75
File,"avro/src/main/java/org/apache/avro/specific/SpecificExceptionBase.java",,45
File,"avro/src/main/java/org/apache/avro/specific/SpecificFixed.java",,49
File,"avro/src/main/java/org/apache/avro/specific/SpecificRecord.java",,4
File,"avro/src/main/java/org/apache/avro/specific/SpecificRecordBase.java",,77
File,"avro/src/main/java/org/apache/avro/specific/SpecificRecordBuilderBase.java",,14
File,"avro/src/main/java/org/apache/avro/util/ByteBufferInputStream.java",,63
File,"avro/src/main/java/org/apache/avro/util/ByteBufferOutputStream.java",,71
File,"avro/src/main/java/org/apache/avro/util/ClassUtils.java",,44
File,"avro/src/main/java/org/apache/avro/util/RandomData.java",,145
File,"avro/src/main/java/org/apache/avro/util/ReusableByteArrayInputStream.java",,13
File,"avro/src/main/java/org/apache/avro/util/ReusableByteBufferInputStream.java",,51
File,"avro/src/main/java/org/apache/avro/util/Utf8.java",,125
File,"avro/src/main/java/org/apache/avro/util/WeakIdentityHashMap.java",,141
File,"avro/src/main/java/org/apache/avro/util/internal/Accessor.java",,80
File,"avro/src/main/java/org/apache/avro/util/internal/JacksonUtils.java",,125
File,"compiler/src/main/java/org/apache/avro/compiler/idl/ResolvingVisitor.java",,142
File,"compiler/src/main/java/org/apache/avro/compiler/idl/SchemaResolver.java",,78
File,"compiler/src/main/java/org/apache/avro/compiler/schema/CloningVisitor.java",,129
File,"compiler/src/main/java/org/apache/avro/compiler/schema/SchemaVisitor.java",,8
File,"compiler/src/main/java/org/apache/avro/compiler/schema/SchemaVisitorAction.java",,7
File,"compiler/src/main/java/org/apache/avro/compiler/schema/Schemas.java",,183
File,"compiler/src/main/java/org/apache/avro/compiler/specific/ProtocolTask.java",,71
File,"compiler/src/main/java/org/apache/avro/compiler/specific/SchemaTask.java",,23
File,"compiler/src/main/java/org/apache/avro/compiler/specific/SpecificCompiler.java",,828
