FilePath, Cyclomatic, CountLines, Class
lang/java/avro/src/main/java/org/apache/avro/io/BlockingBinaryEncoder.java,60,369,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/BufferedBinaryEncoder.java,27,149,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/DatumReader.java,0,7,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/DatumWriter.java,0,7,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/Decoder.java,1,30,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/DecoderFactory.java,22,88,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/DirectBinaryDecoder.java,25,147,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/DirectBinaryEncoder.java,17,75,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/Encoder.java,7,51,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/EncoderFactory.java,20,85,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/JsonDecoder.java,86,420,bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/JsonEncoder.java,44,219,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/ParsingDecoder.java,16,49,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/ParsingEncoder.java,8,34,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/ResolvingDecoder.java,51,206,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/ValidatingDecoder.java,39,189,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/ValidatingEncoder.java,27,148,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java,18,57,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/parsing/Parser.java,24,93,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java,68,254,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/parsing/SkipParser.java,7,40,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/parsing/Symbol.java,47,463,bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java,19,83,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/message/BadHeaderException.java,1,7,not-bug-prone
