FilePath, ChangeRate, AddLines, DeleteLines
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/StatsServer.java,1,9,9
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/StatsServlet.java,1,47,47
lang/java/ipc/src/test/java/org/apache/avro/DataFileInteropTest.java,2,112,9
lang/java/ipc/src/test/java/org/apache/avro/RPCMetaTestPlugin.java,2,46,47
lang/java/ipc/src/test/java/org/apache/avro/RandomData.java,3,146,4
lang/java/ipc/src/test/java/org/apache/avro/TestCompare.java,6,27,20
lang/java/ipc/src/test/java/org/apache/avro/TestDataFileSpecific.java,2,78,1
lang/java/ipc/src/test/java/org/apache/avro/TestProtocolDatagram.java,3,21,17
lang/java/ipc/src/test/java/org/apache/avro/TestProtocolGeneric.java,6,57,10
lang/java/ipc/src/test/java/org/apache/avro/TestProtocolGenericMeta.java,2,3,3
lang/java/ipc/src/test/java/org/apache/avro/TestProtocolHttp.java,6,48,20
lang/java/ipc/src/test/java/org/apache/avro/TestProtocolHttps.java,2,72,2
lang/java/ipc/src/test/java/org/apache/avro/TestProtocolNetty.java,3,50,3
lang/java/ipc/src/test/java/org/apache/avro/TestProtocolReflect.java,4,19,3
lang/java/ipc/src/test/java/org/apache/avro/TestProtocolReflectMeta.java,2,3,3
lang/java/ipc/src/test/java/org/apache/avro/TestProtocolSpecific.java,11,180,50
lang/java/ipc/src/test/java/org/apache/avro/TestProtocolSpecificMeta.java,2,18,17
lang/java/ipc/src/test/java/org/apache/avro/TestSchema.java,23,389,133
lang/java/ipc/src/test/java/org/apache/avro/compiler/specific/TestSpecificCompiler.java,8,573,108
lang/java/ipc/src/test/java/org/apache/avro/generic/TestDeepCopy.java,4,129,22
lang/java/ipc/src/test/java/org/apache/avro/io/Perf.java,2,477,139
lang/java/ipc/src/test/java/org/apache/avro/ipc/TestLocalTransceiver.java,3,7,4
lang/java/ipc/src/test/java/org/apache/avro/ipc/TestNettyServer.java,10,167,63
lang/java/ipc/src/test/java/org/apache/avro/ipc/TestNettyServerConcurrentExecution.java,3,238,39
lang/java/ipc/src/test/java/org/apache/avro/ipc/TestNettyServerWithCallbacks.java,8,802,111
lang/java/ipc/src/test/java/org/apache/avro/ipc/TestNettyServerWithCompression.java,2,110,1
lang/java/ipc/src/test/java/org/apache/avro/ipc/TestNettyServerWithSSL.java,3,264,114
lang/java/ipc/src/test/java/org/apache/avro/ipc/TestRpcPluginOrdering.java,7,120,20
lang/java/ipc/src/test/java/org/apache/avro/ipc/TestSaslAnonymous.java,4,30,3
lang/java/ipc/src/test/java/org/apache/avro/ipc/TestSaslDigestMd5.java,4,9,4
lang/java/ipc/src/test/java/org/apache/avro/ipc/stats/TestHistogram.java,1,9,9
lang/java/ipc/src/test/java/org/apache/avro/ipc/stats/TestStatsPluginAndServlet.java,2,8,8
lang/java/ipc/src/test/java/org/apache/avro/specific/TestSpecificData.java,11,97,10
lang/java/ipc/src/test/java/org/apache/avro/specific/TestSpecificDatumReader.java,1,4,4
lang/java/ipc/src/test/java/org/apache/avro/specific/TestSpecificErrorBuilder.java,3,84,10
lang/java/ipc/src/test/java/org/apache/avro/specific/TestSpecificRecordBuilder.java,7,270,22
lang/java/mapred/src/main/java/org/apache/avro/hadoop/file/HadoopCodecFactory.java,3,85,7
lang/java/mapred/src/main/java/org/apache/avro/hadoop/file/SortedKeyValueFile.java,6,652,19
lang/java/mapred/src/main/java/org/apache/avro/hadoop/io/AvroSequenceFile.java,4,792,57
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroAsTextInputFormat.java,3,77,7
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroAsTextRecordReader.java,3,105,6
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroInputFormat.java,2,28,9
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroJob.java,5,92,5
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroMultipleOutputs.java,6,679,53
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroOutputFormat.java,9,120,46
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroRecordReader.java,3,11,11
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroSerialization.java,6,42,37
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroTextOutputFormat.java,2,141,7
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroUtf8InputFormat.java,1,4,4
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroWrapper.java,3,10,2
lang/java/mapred/src/main/java/org/apache/avro/mapred/HadoopCombiner.java,1,1,1
lang/java/mapred/src/main/java/org/apache/avro/mapred/HadoopMapper.java,4,13,32
lang/java/mapred/src/main/java/org/apache/avro/mapred/HadoopReducerBase.java,3,9,5
lang/java/mapred/src/main/java/org/apache/avro/mapred/Pair.java,5,106,25
lang/java/mapred/src/main/java/org/apache/avro/mapred/SequenceFileReader.java,1,3,3
lang/java/mapred/src/main/java/org/apache/avro/mapred/SequenceFileRecordReader.java,1,1,1
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherData.java,1,1,1
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherInputFormat.java,2,19,7
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherJob.java,6,105,90
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherKeyComparator.java,2,3,3
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherKeySerialization.java,5,13,11
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherMapRunner.java,3,9,7
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherOutputFormat.java,2,2,2
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherPartitioner.java,1,1,1
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherRecordReader.java,1,5,5
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherReducer.java,2,3,4
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetheredProcess.java,7,132,33
